timestamp,raw_value,attention,label
1644694646.4014657,-35,53,0
1644694646.4024625,0,53,0
1644694646.4044573,-4,53,0
1644694646.4064517,-33,53,0
1644694646.408447,-45,53,0
1644694646.409444,-50,53,0
1644694646.4124358,-53,53,0
1644694646.4154282,-52,53,0
1644694646.4164255,-70,53,0
1644694646.4184203,-86,53,0
1644694646.421412,-90,53,0
1644694646.4224095,-104,53,0
1644694646.4254017,-110,53,0
1644694646.426399,-84,53,0
1644694646.428394,-57,53,0
1644694646.4303885,-56,53,0
1644694646.432383,-59,53,0
1644694646.43338,-54,53,0
1644694646.436372,-43,53,0
1644694646.437369,-34,53,0
1644694646.4403617,-29,53,0
1644694646.4413586,-39,53,0
1644694646.4433532,-45,53,0
1644694646.4463453,-45,53,0
1644694646.4473426,-39,53,0
1644694646.4503345,-37,53,0
1644694646.4523292,-38,53,0
1644694646.4563186,-46,53,0
1644694646.4573162,-53,53,0
1644694646.4603083,-44,53,0
1644694646.4613056,-30,53,0
1644694646.4623024,-14,53,0
1644694646.4633,-17,53,0
1644694646.4662921,-45,53,0
1644694646.4672897,-72,53,0
1644694646.4702814,-72,53,0
1644694646.4712787,-49,53,0
1644694646.4732738,-20,53,0
1644694646.4752686,-7,53,0
1644694646.4772625,-18,53,0
1644694646.4802544,-22,53,0
1644694646.4812522,-6,53,0
1644694646.4822493,13,53,0
1644694646.4852412,20,53,0
1644694646.4872358,3,53,0
1644694646.4892309,-12,53,0
1644694646.4912252,-14,53,0
1644694646.492223,-21,53,0
1644694646.4952147,-39,53,0
1644694646.4962122,-37,53,0
1644694646.4982066,-14,53,0
1644694646.5002012,-3,53,0
1644694646.5021963,4,53,0
1644694646.5031934,5,53,0
1644694646.5061853,5,53,0
1644694646.5091774,10,53,0
1644694646.5101748,7,53,0
1644694646.5121691,-3,53,0
1644694646.515161,-7,53,0
1644694646.516159,-9,53,0
1644694646.544084,-7,53,0
1644694646.5450816,2,53,0
1644694646.5460787,10,53,0
1644694646.549085,13,53,0
1644694646.5510654,16,53,0
1644694646.5510654,20,53,0
1644694646.5510654,26,53,0
